EVACode,UICCode,code,ingangsDatum,heeftFaciliteiten,heeftReisassistentie,heeftVertrektijden,land,lat,lng,radius,naderenRadius,namen,synoniemen,nearbyMeLocationId,sporen,stationType,cdCode
8400185,8400185,DVC,2023-12-10,True,True,True,NL,52.2502784729004,6.21444463729858,200,1200,"{'lang': 'Deventer Colmschate', 'middel': 'Colmschate', 'kort': 'Colmschate'}",[],"{'value': 'DVC', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,185.0
8400186,8400186,DDRS,2020-05-13,True,True,True,NL,51.801944732666,4.71666669845581,200,1200,"{'lang': 'Dordrecht Stadspolders', 'middel': 'Stadspolders', 'kort': 'Stadspldrs'}",[],"{'value': 'DDRS', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,186.0
8400188,8400188,DVNK,2011-05-01,True,True,True,NL,52.1472206115723,4.4563889503479,200,1200,"{'lang': 'De Vink', 'middel': 'De Vink', 'kort': 'De Vink'}",[],"{'value': 'DVNK', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,188.0
8400192,8400192,DRP,2020-09-01,True,True,True,NL,53.1778086,5.6347411,200,1200,"{'lang': 'Dronryp', 'middel': 'Dronryp', 'kort': 'Dronryp'}",[],"{'value': 'DRP', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,192.0
8400193,8400193,DVN,2020-05-13,True,True,True,NL,51.9433326721191,6.01472234725952,200,1200,"{'lang': 'Duiven', 'middel': 'Duiven', 'kort': 'Duiven'}",[],"{'value': 'DVN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,193.0
8400194,8400194,DVD,1993-05-23,True,True,True,NL,52.3233337402344,4.93638896942139,525,1600,"{'lang': 'Duivendrecht', 'middel': 'Duivendrecht', 'kort': 'Duivendrt'}",[],"{'value': 'DVD', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '8'}]",KNOOPPUNT_STOPTREIN_STATION,194.0
8400195,8400195,EC,2022-01-01,True,True,True,NL,51.1005554199219,5.87888908386231,200,1200,"{'lang': 'Echt', 'middel': 'Echt', 'kort': 'Echt'}",[],"{'value': 'EC', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,195.0
8400196,8400196,EHS,2015-12-13,True,True,True,NL,51.4511108398438,5.45583343505859,200,1200,"{'lang': 'Eindhoven Strijp-S', 'middel': 'Strijp-S', 'kort': 'Strijp-S'}",[],"{'value': 'EHS', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,196.0
8400198,8400198,DRON,2023-12-10,True,True,True,NL,52.5344,5.72089,200,1200,"{'lang': 'Dronten', 'middel': 'Dronten', 'kort': 'Dronten'}",[],"{'value': 'DRON', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,198.0
8400200,8400200,ED,2014-04-02,True,True,True,NL,52.0277786254883,5.67305564880371,525,1200,"{'lang': 'Ede-Wageningen', 'middel': 'Ede-Wageningen', 'kort': 'Ede-Wag'}",[],"{'value': 'ED', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '1a'}, {'spoorNummer': '1b'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}]",KNOOPPUNT_INTERCITY_STATION,200.0
